+-----------+-------------------------------------------------------------------------+--------+----+------------+-----------+----------------------+
|   Mã môn  | Tên môn học                                                             |  Nhóm  | Tổ | Số tín chỉ |    Lớp    |        ID Môn        |
| 61RUS3IP1 | Thực hành dịch nói 1                                                    | 01.19  |    |     3      |     *     | -5737704765919335968 |
| 61RUS3LEX | Từ vựng học tiếng Nga                                                   | 01.19  |    |     3      |     *     | -8359522778396918489 |
| 61RUS3TP1 | Thực hành dịch viết 1                                                   | 01.19  |    |     3      |     *     | -7637075560976495835 |
| 61RUS4INT | Thực tập                                                                | 01.19  |    |     3      |     *     | -5077716628054069851 |
| 61RUS4IP2 | Thực hành dịch nói 2                                                    | 01.19  |    |     3      |     *     | -6855349121690512953 |
| 61RUS4SYN | Cú pháp học tiếng Nga                                                   | 01.19  |    |     3      |     *     | -6582646420731479595 |
| 61RUS4TGS | Nghiệp vụ hướng dẫn du lịch                                             | 01.19  |    |     3      |     *     | -6001402440453168859 |
| 61RUS4TOG | Địa lý du lịch                                                          | 01.19  |    |     3      |     *     | -5564527398250488833 |
| 61RUS4TP2 | Thực hành dịch viết 2                                                   | 01.19  |    |     3      |     *     | -6821325335527281562 |
| 62ITA4BUI | Tiếng Italia Thương mại                                                 | 01.19C |    |     3      |     *     | -8895676438550797850 |
| 62ITA4IP2 | Phiên dịch 2                                                            | 01.19C |    |     3      |     *     | -4720585596396183378 |
| 62ITA4ITG | Tiếng Italia trong nghiệp vụ hướng dẫn du lịch                          | 01.19C |    |     2      |     *     | -7956214618410675766 |
| 62ITA4PMK | Nguyên lý cơ bản Marketing                                              | 01.19C |    |     2      |     *     | -8380590241523340429 |
| 62ITA4TEC | Dịch chuyên ngành Kinh tế - Thương mại                                  | 01.19C |    |     2      |     *     | -7846221602638097192 |
| 62ITA4TP2 | Biên dịch 2                                                             | 01.19C |    |     3      |     *     | -5327373551461000496 |
| 61FIT3SS1 | Chuyên đề 1                                                             | 01.20  |    |     3      |     *     | -9129101719185074521 |
| 61ITA33C1 | Thực hành tiếng 3C1                                                     | 01.20  |    |     3      |     *     | -6751134574588958654 |
